COD_COMARCA,CANDIDATO_COD,VOTOS,AÑO_ID
25,10,62,2
25,11,3906,2
25,14,734,2
25,20,505,2
25,25,1082,2
25,27,50,2
25,28,143,2
25,31,10238,2
25,40,19,2
25,41,45,2
25,42,804,2
25,43,28,2
25,44,157,2
25,45,192,2
25,46,337,2
25,47,171,2
25,48,20,2
25,52,5968,2
25,70,103,2
25,73,6,2
25,74,29,2
25,75,18,2
25,76,769,2
25,82,43,2
25,85,4183,2
25,86,26,2
25,87,37,2
25,88,15,2
25,89,132,2
25,96,152,2
25,99,40,2
25,103,259,2
25,104,564,2
25,105,53,2
25,106,67,2
26,1,18,2
26,2,2806,2
26,4,3408,2
26,5,14,2
26,10,18,2
26,11,644,2
26,14,85,2
26,20,74,2
26,25,206,2
26,27,14,2
26,28,30,2
26,31,1553,2
26,40,3,2
26,41,13,2
26,42,120,2
26,43,4,2
26,44,29,2
26,45,33,2
26,46,85,2
26,47,26,2
26,48,3,2
26,52,1310,2
26,70,29,2
26,73,3,2
26,74,2,2
26,75,11,2
26,76,112,2
26,82,7,2
26,85,800,2
26,86,5,2
26,87,17,2
26,88,3,2
26,89,18,2
26,96,34,2
26,99,16,2
26,103,26,2
26,104,118,2
26,105,11,2
26,106,25,2
27,1,44,2
27,2,9337,2
27,4,10907,2
27,5,40,2
27,10,65,2
27,11,3636,2
27,14,478,2
27,20,198,2
27,25,1481,2
27,27,37,2
27,28,186,2
27,31,2769,2
27,40,9,2
27,41,75,2
27,42,516,2
27,43,37,2
27,44,110,2
27,45,226,2
27,46,350,2
27,47,143,2
27,48,18,2
27,52,5440,2
27,70,68,2
27,73,11,2
27,74,29,2
27,75,16,2
27,76,386,2
27,82,35,2
27,85,4312,2
27,86,32,2
27,87,61,2
27,88,10,2
27,89,77,2
27,96,137,2
27,99,44,2
27,103,72,2
27,104,403,2
27,105,21,2
27,106,122,2
28,1,44,2
28,2,4559,2
28,4,5973,2
28,5,17,2
28,10,19,2
28,11,1368,2
28,14,207,2
28,20,40,2
28,25,623,2
28,27,22,2
28,28,36,2
28,31,976,2
28,40,4,2
28,41,25,2
28,42,193,2
28,43,18,2
28,44,60,2
28,45,48,2
28,46,99,2
28,47,48,2
28,48,19,2
